A[32]	B[32]	Op[4]	Sa[5]	C[32]	V
#Edge Cases
-2147483648		-2147483648		2		0		-4294967296		1
-2147483648		2147483647		2		0		-1		0
-2147483648		0		2		0		-2147483648		0
-2147483648		1		2		0		-2147483647		0
-2147483648		-1		2		0		-2147483649		1
2147483647		-2147483648		2		0		-1		0
2147483647		2147483647		2		0		4294967294		1
2147483647		0		2		0		2147483647		0
2147483647		1		2		0		2147483648		1
2147483647		-1		2		0		2147483646		0
0		-2147483648		2		0		-2147483648		0
0		2147483647		2		0		2147483647		0
0		0		2		0		0		0
0		1		2		0		1		0
0		-1		2		0		-1		0
1		-2147483648		2		0		-2147483647		0
1		2147483647		2		0		2147483648		1
1		0		2		0		1		0
1		1		2		0		2		0
1		-1		2		0		0		0
-1		-2147483648		2		0		-2147483649		1
-1		2147483647		2		0		2147483646		0
-1		0		2		0		-1		0
-1		1		2		0		0		0
-1		-1		2		0		-2		0
-2147483648		-2147483648		3		0		-4294967296		1
-2147483648		2147483647		3		0		-1		0
-2147483648		0		3		0		-2147483648		0
-2147483648		1		3		0		-2147483647		0
-2147483648		-1		3		0		-2147483649		1
2147483647		-2147483648		3		0		-1		0
2147483647		2147483647		3		0		4294967294		1
2147483647		0		3		0		2147483647		0
2147483647		1		3		0		2147483648		1
2147483647		-1		3		0		2147483646		0
0		-2147483648		3		0		-2147483648		0
0		2147483647		3		0		2147483647		0
0		0		3		0		0		0
0		1		3		0		1		0
0		-1		3		0		-1		0
1		-2147483648		3		0		-2147483647		0
1		2147483647		3		0		2147483648		1
1		0		3		0		1		0
1		1		3		0		2		0
1		-1		3		0		0		0
-1		-2147483648		3		0		-2147483649		1
-1		2147483647		3		0		2147483646		0
-1		0		3		0		-1		0
-1		1		3		0		0		0
-1		-1		3		0		-2		0
-2147483648		-2147483648		6		0		0		0
-2147483648		2147483647		6		0		-4294967295		1
-2147483648		0		6		0		-2147483648		0
-2147483648		1		6		0		-2147483649		1
-2147483648		-1		6		0		-2147483647		0
2147483647		-2147483648		6		0		4294967295		1
2147483647		2147483647		6		0		0		0
2147483647		0		6		0		2147483647		0
2147483647		1		6		0		2147483646		0
2147483647		-1		6		0		2147483648		1
0		-2147483648		6		0		2147483648		1
0		2147483647		6		0		-2147483647		0
0		0		6		0		0		0
0		1		6		0		-1		0
0		-1		6		0		1		0
1		-2147483648		6		0		2147483649		1
1		2147483647		6		0		-2147483646		0
1		0		6		0		1		0
1		1		6		0		0		0
1		-1		6		0		2		0
-1		-2147483648		6		0		2147483647		0
-1		2147483647		6		0		-2147483648		0
-1		0		6		0		-1		0
-1		1		6		0		-2		0
-1		-1		6		0		0		0
-2147483648		-2147483648		7		0		0		0
-2147483648		2147483647		7		0		-4294967295		1
-2147483648		0		7		0		-2147483648		0
-2147483648		1		7		0		-2147483649		1
